"Is American Airlines Making The Most Of Its Increased Cash Flows?",negative
"Zika virus worries weigh on the travel industry.",negative
"Worried fliers wear masks as precaution against Ebola",negative
"JetBlue Announces Q4 2009 and Full Year 2008 Pre-Tax Results",negative
"Worried about Zika? Here's how to cancel that trip As worries about Zika virus mount",negative
"Airline stocks tank on DOJ",negative
"Why JetBlue, Seadrill Partners, and Container Store Group Slumped",negative
"Why the Dow Jones Industrial Average Today Fell 310 Points",negative
"Dow loses gains for the year; transports off 2%",negative
"Grab a barf bag! Airline stocks plunge Fasten your seat belts and stow your tray tables",negative
“Looking for an extra day of travel in 2016? JetBlue holding a one-day sale to celebrate Leap Day.”,positive
“It’s no secret that America’s airports are decaying”,positive
“JetBlue Airways more than doubled its fourth quarter profit”,positive
“Southwest Airlines and JetBlue are the best U.S.-based frequent-flyer programs when it comes to award seat availability“,positive
“Southwest soars: Investors love LUV Lower fuel prices = record profits for the airline industry”,positive
“JetBlue earnings climb 18.5% on cheaper fuel”,positive
“Why Is JetBlue Airways (JBLU) a Must-Add for Your Portfolio?”,positive
“Buy JetBlue Before It Takes Off”,positive
“ JetBlue Is a Top-Flight Stock Set to Gain Altitude”,positive
“ JetBlue Airways Corporation Revenue Is Trending Higher”,positive
